model,metric-value,number-of-alt-considered,metric-value-percent,best-alt-not-explainable
model121.csv,16,22,72.7,"['235', '234', '125', '134', '25', '24']"
model37.csv,17,20,85.0,"['125', '25', '15']"
model44.csv,17,21,81.0,"['125', '134', '25', '15']"
model224.csv,21,26,80.8,"['235', '135', '34', '15', '23']"
model172.csv,16,18,88.9,"['235', '15']"
model363.csv,19,21,90.5,"['145', '134']"
model76.csv,16,20,80.0,"['145', '134', '125', '34']"
model323.csv,19,24,79.2,"['234', '134', '124', '34', '24']"
model232.csv,17,18,94.4,['15']
model359.csv,17,19,89.5,"['145', '234']"
model480.csv,20,26,76.9,"['235', '125', '124', '25', '15', '23']"
model471.csv,20,26,76.9,"['145', '125', '35', '25', '15', '14']"
model82.csv,17,21,81.0,"['145', '134', '125', '34']"
model166.csv,20,23,87.0,"['145', '134', '34']"
model179.csv,14,20,70.0,"['235', '234', '125', '134', '25', '34']"
model474.csv,17,26,65.4,"['145', '135', '234', '125', '124', '25', '34', '15', '14']"
model65.csv,15,16,93.8,['145']
model336.csv,17,23,73.9,"['235', '135', '234', '134', '34', '15']"
model87.csv,17,22,77.3,"['145', '234', '125', '25', '24']"
model499.csv,18,27,66.7,"['145', '234', '125', '45', '25', '34', '24', '15', '14']"
model154.csv,17,20,85.0,"['145', '134', '34']"
model378.csv,16,18,88.9,"['235', '234']"
model46.csv,16,21,76.2,"['234', '125', '134', '25', '34']"
model134.csv,20,24,83.3,"['145', '134', '34', '15']"
model268.csv,17,22,77.3,"['135', '234', '25', '34', '15']"
model20.csv,17,22,77.3,"['135', '125', '134', '25', '15']"
model84.csv,16,22,72.7,"['145', '135', '125', '134', '25', '15']"
model487.csv,17,26,65.4,"['235', '145', '234', '134', '35', '34', '24', '15', '23']"
model414.csv,21,26,80.8,"['145', '135', '124', '15', '14']"
model387.csv,19,23,82.6,"['235', '234', '25', '34']"
model311.csv,17,23,73.9,"['145', '135', '234', '134', '34', '15']"
model496.csv,18,27,66.7,"['145', '135', '234', '125', '123', '25', '34', '15', '14']"
model444.csv,19,21,90.5,"['235', '15']"
model58.csv,20,23,87.0,"['135', '125', '15']"
model55.csv,18,22,81.8,"['234', '134', '34', '24']"
model246.csv,19,23,82.6,"['125', '35', '25', '15']"
model120.csv,17,22,77.3,"['235', '234', '125', '25', '24']"
model298.csv,18,20,90.0,"['145', '15']"
model21.csv,18,22,81.8,"['135', '134', '34', '15']"
